m[eV], g
1.0422113563567698e-23, 1.6221256259979486e-24
3.053561208509517e-23, 1.618997141922918e-24
8.584236170029729e-23, 1.6159946743599932e-24
2.567617853049341e-22, 1.6128181378188616e-24
6.784091748372974e-22, 1.610006433344062e-24
2.071563939780088e-21, 1.6067820150750275e-24
6.87094662065127e-21, 1.6033259435460227e-24
2.186648645865541e-20, 1.5999961007457237e-24
6.958913472118274e-20, 1.5966731734781766e-24
2.72322090887668e-19, 1.5927657249752308e-24
1.0225122231597381e-18, 1.5889858164399703e-24
3.254100332308006e-18, 1.585685755711864e-24
1.1248768326457826e-17, 1.5821575814711411e-24
3.579871215237695e-17, 1.5788717018576995e-24
1.093135587430947e-16, 1.5757096382444768e-24
4.1044944098204115e-16, 1.5719702067528897e-24
